18.06,17.08,18.93
18.06,17.08,18.93
17.65,17.08,18.85
17.96,17.08,18.93
17.65,17.08,18.93
17.65,17.08,18.93
18.06,17.08,18.92
17.65,17.08,18.93
17.65,17.08,18.93
18.06,17.08,18.92
18.06,17.08,18.93
17.66,17.08,18.93
17.65,17.08,18.81
17.65,17.08,18.93
18.06,17.08,18.83
18.06,17.08,18.85
17.97,17.08,18.93
18.08,17.08,18.93
17.65,17.08,18.93
17.65,17.08,18.93
18.06,17.06,18.93
17.65,17.08,19.28
17.65,16.62,18.93
17.65,17.08,18.93
17.65,16.62,18.93
17.65,17.06,18.93
17.66,17.08,18.93
17.65,16.62,18.83
18.06,17.08,18.85
17.65,17.08,19.23
18.06,16.62,18.93
18.06,16.62,18.93
18.06,16.67,18.93
18.06,16.62,18.93
18.06,16.72,18.93
18.06,16.62,18.83
18.01,16.62,18.92
17.65,16.62,18.93
18.06,16.62,19.35
17.54,16.62,18.93
17.65,16.62,19.35
18.06,16.62,19.26
17.65,16.62,18.93
18.06,16.62,18.93
17.65,16.62,18.85
18.08,17.08,18.93
17.65,17.08,18.83
18.06,17.08,18.93
17.65,16.62,18.83
17.54,16.62,18.93
17.65,17.08,18.92
17.65,17.08,18.93
18.06,17.06,18.93
17.65,17.08,18.92
17.65,17.08,19.35
17.65,17.06,18.93
17.54,17.08,18.92
17.65,17.08,18.93
17.65,17.08,18.93
17.65,17.08,18.93
17.65,17.08,18.93
17.65,17.08,18.83
17.65,17.08,18.93
17.65,17.08,18.83
17.65,17.08,18.93
17.65,17.08,18.93
17.66,17.08,18.93
17.65,17.08,18.93
17.65,17.08,18.87
17.65,17.08,18.93
17.65,17.08,18.93
17.65,17.08,18.93
17.65,17.08,18.93
17.65,17.08,18.93
17.65,17.08,18.93
17.65,17.08,18.85
17.59,17.08,18.93
17.65,17.08,18.93
17.65,17.08,18.83
17.65,17.08,18.93
17.65,17.08,18.93
17.65,17.15,18.93
17.65,17.08,18.83
18.04,17.08,18.93
17.65,16.62,18.93
17.65,17.08,18.93
17.54,17.08,18.92
17.65,17.08,18.93
17.65,17.08,18.93
17.65,17.08,18.85
17.65,17.08,18.93
17.65,16.62,18.83
17.65,17.08,18.93
18.06,16.72,19.04
18.11,16.62,19.45
18.57,16.67,20.02
19.19,18.11,107.73
61.92,19.43,107.20
54.02,20.45,107.61
41.34,19.98,107.32
42.73,19.88,107.30
79.47,20.86,107.53
99.98,20.34,107.73
42.99,20.34,107.73
43.35,20.45,107.63
42.73,20.34,107.22
43.14,20.45,107.32
43.09,20.45,107.30
43.87,20.34,107.30
43.97,20.34,107.71
42.63,20.45,107.63
43.25,22.44,107.32
43.63,22.54,107.68
44.69,20.24,107.30
79.50,19.98,107.58
81.12,19.98,107.25
80.27,20.60,107.73
43.14,20.10,107.58
41.91,19.21,107.11
43.14,18.66,108.97
43.95,17.53,21.08
18.83,17.84,20.58
18.83,17.39,20.53
18.66,17.85,20.53
19.24,17.37,20.53
19.24,17.39,20.43
19.23,17.84,20.43
19.24,17.39,20.53
19.24,17.37,20.45
19.24,17.84,20.43
19.24,17.85,20.53
19.14,17.77,20.53
19.26,17.37,21.05
20.07,17.85,21.01
80.53,17.99,107.42
81.17,19.21,107.53
92.37,21.53,107.89
49.90,22.65,107.27
49.48,60.10,107.37
49.47,22.54,107.68
60.12,21.94,108.08
49.07,21.74,107.68
51.60,58.87,107.53
61.31,20.65,107.32
59.38,58.16,106.94
60.22,58.52,107.15
60.57,19.90,107.16
59.97,19.36,107.16
61.20,59.04,107.10
62.29,57.85,106.70
61.56,57.97,107.35
49.26,19.28,106.55
46.94,18.97,106.12
81.62,19.42,106.79
82.51,19.78,106.19
47.99,17.54,20.43
18.95,16.01,17.08
18.06,15.55,16.41
17.99,15.45,16.72
18.04,15.50,17.75
18.63,15.50,17.44
